epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,91.816,0.47579,0.2082,0.00762,0.97043,0.98442,0.99049,0.91269,0.38425,0.1848,0.0089,0.00183764,0.00183764,0.00183764
43,94.4081,0.48376,0.23077,0.00691,0.92113,0.955,0.97125,0.87613,0.43949,0.22538,0.01148,0.00183368,0.00183368,0.00183368
44,96.4852,0.51085,0.24292,0.00808,0.94425,0.93154,0.94989,0.84214,0.47774,0.20389,0.01166,0.00182972,0.00182972,0.00182972
45,98.7016,0.52652,0.251,0.0086,0.96278,0.96,0.96942,0.88681,0.39674,0.17711,0.00938,0.00182576,0.00182576,0.00182576
46,101.123,0.51861,0.28081,0.00846,0.97954,0.92,0.98768,0.88424,0.43114,0.21698,0.01117,0.0018218,0.0018218,0.0018218
47,103.249,0.47509,0.22417,0.00745,0.96379,0.965,0.98917,0.90993,0.44904,0.18309,0.00948,0.00181784,0.00181784,0.00181784
48,105.29,0.48421,0.22971,0.0076,0.94888,0.97,0.98706,0.86174,0.5249,0.23737,0.01302,0.00181388,0.00181388,0.00181388
49,107.351,0.51637,0.23048,0.0082,0.96919,0.975,0.99082,0.88963,0.44432,0.18878,0.01148,0.00180992,0.00180992,0.00180992
50,109.433,0.5236,0.2327,0.00891,0.9591,0.93801,0.98225,0.86512,0.52087,0.26052,0.01528,0.00180596,0.00180596,0.00180596
51,111.442,0.51767,0.23672,0.00842,0.95948,0.895,0.97285,0.8559,0.49128,0.36889,0.01243,0.001802,0.001802,0.001802
52,113.491,0.49476,0.21986,0.00838,0.94191,0.975,0.98358,0.89031,0.42564,0.19034,0.01144,0.00179804,0.00179804,0.00179804
53,115.583,0.49214,0.21027,0.00779,0.95573,0.97141,0.98318,0.8629,0.50739,0.19749,0.01376,0.00179408,0.00179408,0.00179408
54,117.649,0.48293,0.23063,0.00784,0.94742,0.99098,0.98434,0.88966,0.47916,0.18372,0.01339,0.00179012,0.00179012,0.00179012
55,119.678,0.46963,0.21794,0.0076,0.97868,0.985,0.98942,0.88986,0.42948,0.17238,0.01066,0.00178616,0.00178616,0.00178616
56,121.73,0.49401,0.21487,0.00769,0.98986,0.97577,0.99343,0.91401,0.41565,0.16581,0.01037,0.0017822,0.0017822,0.0017822
57,123.843,0.48229,0.24167,0.00802,0.97401,0.985,0.99086,0.91497,0.41635,0.16568,0.00933,0.00177824,0.00177824,0.00177824
58,125.924,0.44232,0.21007,0.00681,0.95919,0.9402,0.98468,0.87417,0.52903,0.21297,0.01448,0.00177428,0.00177428,0.00177428
59,127.914,0.48934,0.22292,0.00763,0.96556,0.98113,0.98942,0.87896,0.49451,0.18761,0.01453,0.00177032,0.00177032,0.00177032
60,130.03,0.46855,0.2201,0.00734,0.96903,0.98,0.99085,0.88882,0.4331,0.16535,0.01126,0.00176636,0.00176636,0.00176636
61,132.054,0.466,0.21211,0.00741,0.98463,0.96091,0.98918,0.9141,0.39677,0.16664,0.00908,0.0017624,0.0017624,0.0017624
62,134.132,0.44651,0.2087,0.00664,0.9501,0.95,0.98652,0.89486,0.44716,0.19582,0.01031,0.00175844,0.00175844,0.00175844
63,136.139,0.44863,0.21218,0.00721,0.96069,0.97749,0.98736,0.88675,0.47251,0.1795,0.01222,0.00175448,0.00175448,0.00175448
64,138.205,0.44756,0.21152,0.00731,0.95058,0.925,0.98246,0.88387,0.45933,0.3215,0.01193,0.00175052,0.00175052,0.00175052
65,140.334,0.45826,0.20248,0.00718,0.97982,0.98,0.98386,0.88109,0.48336,0.17458,0.01292,0.00174656,0.00174656,0.00174656
66,142.384,0.46438,0.20974,0.00751,0.95313,0.93,0.96934,0.87603,0.49106,0.28681,0.01219,0.0017426,0.0017426,0.0017426
67,144.43,0.46286,0.21065,0.00707,0.95064,0.96301,0.98637,0.89872,0.39273,0.18975,0.00978,0.00173864,0.00173864,0.00173864
68,146.476,0.49641,0.22913,0.00785,0.96081,0.995,0.98745,0.89186,0.47299,0.17291,0.01172,0.00173468,0.00173468,0.00173468
69,148.556,0.49591,0.22382,0.00794,0.97042,0.965,0.99137,0.86868,0.52372,0.19446,0.01471,0.00173072,0.00173072,0.00173072
70,150.628,0.49373,0.22093,0.00787,0.96495,0.96368,0.98212,0.87462,0.47342,0.21051,0.01131,0.00172676,0.00172676,0.00172676
71,152.642,0.46176,0.20509,0.00717,0.97996,0.97794,0.98458,0.88565,0.41298,0.19352,0.01069,0.0017228,0.0017228,0.0017228
72,154.745,0.44112,0.21416,0.00669,0.95642,0.9876,0.98813,0.91639,0.39056,0.16286,0.00957,0.00171884,0.00171884,0.00171884
73,156.881,0.40336,0.20524,0.00638,0.92108,0.905,0.9697,0.87252,0.4618,0.48742,0.01177,0.00171488,0.00171488,0.00171488
74,158.935,0.44186,0.21422,0.00665,0.97511,0.97936,0.99272,0.90607,0.4282,0.16629,0.01127,0.00171092,0.00171092,0.00171092
75,160.957,0.44986,0.21039,0.00662,0.97426,0.99,0.99038,0.89634,0.43771,0.15909,0.01104,0.00170696,0.00170696,0.00170696
76,163.074,0.45298,0.21183,0.00669,0.95644,0.98812,0.98936,0.90035,0.41216,0.16385,0.00976,0.001703,0.001703,0.001703
77,165.399,0.46771,0.21791,0.00687,0.92293,0.95808,0.97738,0.87596,0.45648,0.32963,0.01125,0.00169904,0.00169904,0.00169904
78,167.476,0.43318,0.19816,0.00673,0.89618,0.915,0.96478,0.87534,0.4492,0.48571,0.00984,0.00169508,0.00169508,0.00169508
79,169.553,0.44186,0.19675,0.00662,0.93113,0.92,0.97242,0.86187,0.51456,0.45256,0.01191,0.00169112,0.00169112,0.00169112
80,171.92,0.46679,0.20972,0.00717,0.97998,0.97921,0.99201,0.9153,0.46019,0.1609,0.01062,0.00168716,0.00168716,0.00168716
81,174.019,0.4963,0.22868,0.00769,0.96532,0.94,0.98472,0.89727,0.45503,0.21787,0.01127,0.0016832,0.0016832,0.0016832
82,176.05,0.44877,0.20427,0.00748,0.88996,0.97047,0.98049,0.86992,0.53352,0.28796,0.01425,0.00167924,0.00167924,0.00167924
83,178.095,0.46102,0.19868,0.00749,0.97043,0.98441,0.98189,0.8882,0.43541,0.16882,0.01068,0.00167528,0.00167528,0.00167528
84,180.225,0.45151,0.20063,0.00701,0.95642,0.98757,0.982,0.903,0.40803,0.15859,0.0101,0.00167132,0.00167132,0.00167132
85,182.23,0.46508,0.21661,0.00725,0.98163,0.98,0.99175,0.92979,0.38559,0.15312,0.00962,0.00166736,0.00166736,0.00166736
86,184.316,0.4671,0.22864,0.00747,0.98532,0.95,0.98903,0.91594,0.39441,0.1681,0.00842,0.0016634,0.0016634,0.0016634
87,186.311,0.45934,0.2185,0.00722,0.97504,0.97656,0.98866,0.89938,0.42755,0.15078,0.01073,0.00165944,0.00165944,0.00165944
88,188.449,0.4463,0.19439,0.00728,0.98514,0.99435,0.99185,0.91346,0.42934,0.14127,0.01158,0.00165548,0.00165548,0.00165548
89,190.448,0.43845,0.20682,0.00679,0.98985,0.97567,0.99186,0.90086,0.46248,0.1503,0.0118,0.00165152,0.00165152,0.00165152
90,192.519,0.47855,0.21456,0.0078,0.98484,0.97442,0.99273,0.92657,0.3995,0.145,0.00974,0.00164756,0.00164756,0.00164756
91,194.572,0.45348,0.20549,0.0072,0.95162,0.98346,0.98589,0.91548,0.39907,0.16269,0.00954,0.0016436,0.0016436,0.0016436
92,196.686,0.41652,0.18638,0.00645,0.96479,0.95902,0.98767,0.89281,0.43191,0.17657,0.01233,0.00163964,0.00163964,0.00163964
93,198.691,0.45812,0.19294,0.00724,0.96557,0.98164,0.99125,0.89963,0.43932,0.15851,0.01226,0.00163568,0.00163568,0.00163568
94,200.74,0.44329,0.19379,0.00682,0.95629,0.995,0.99093,0.92054,0.40109,0.14841,0.01022,0.00163172,0.00163172,0.00163172
95,202.755,0.42402,0.20411,0.0064,0.96963,0.95773,0.9883,0.89489,0.45468,0.17991,0.01253,0.00162776,0.00162776,0.00162776
96,204.905,0.42597,0.19144,0.00667,0.93276,0.98,0.9832,0.89056,0.45089,0.18787,0.01096,0.0016238,0.0016238,0.0016238
97,206.924,0.48975,0.20879,0.00721,0.94919,0.98,0.97077,0.88226,0.41781,0.20053,0.00944,0.00161984,0.00161984,0.00161984
98,208.954,0.46248,0.2084,0.00723,0.95543,0.935,0.9739,0.88249,0.4134,0.20767,0.01051,0.00161588,0.00161588,0.00161588
99,210.969,0.4254,0.19705,0.00641,0.9457,0.975,0.98667,0.89677,0.39436,0.18572,0.00934,0.00161192,0.00161192,0.00161192
100,213.091,0.43185,0.18778,0.00681,0.97957,0.945,0.99191,0.89717,0.4841,0.17827,0.01342,0.00160796,0.00160796,0.00160796
101,215.103,0.43141,0.19075,0.00693,0.95536,0.975,0.98687,0.90501,0.45236,0.19176,0.01208,0.001604,0.001604,0.001604
102,217.145,0.44463,0.20966,0.00679,0.97512,0.97969,0.98714,0.9184,0.41191,0.1527,0.00971,0.00160004,0.00160004,0.00160004
103,219.219,0.44082,0.21161,0.00685,0.9888,0.97,0.99324,0.90232,0.45575,0.16267,0.01109,0.00159608,0.00159608,0.00159608
104,221.286,0.43151,0.18867,0.00667,0.98391,0.985,0.99327,0.92596,0.38265,0.14396,0.00902,0.00159212,0.00159212,0.00159212
105,223.283,0.42236,0.19303,0.00634,0.98432,0.97,0.99336,0.90885,0.42291,0.15836,0.00939,0.00158816,0.00158816,0.00158816
106,225.359,0.43649,0.20738,0.00629,0.95457,0.99,0.99163,0.90812,0.41054,0.20566,0.01014,0.0015842,0.0015842,0.0015842
107,227.455,0.42367,0.18081,0.00647,0.93631,1,0.98538,0.87539,0.44989,0.23329,0.01129,0.00158024,0.00158024,0.00158024
108,229.537,0.41027,0.17382,0.00619,0.95212,0.99422,0.99018,0.87918,0.44897,0.19891,0.01195,0.00157628,0.00157628,0.00157628
109,231.57,0.41129,0.1826,0.00613,0.97979,0.96964,0.99203,0.90174,0.40961,0.16401,0.00994,0.00157232,0.00157232,0.00157232
110,233.657,0.42028,0.18774,0.00599,0.98008,0.98379,0.99285,0.91679,0.40655,0.14946,0.00935,0.00156836,0.00156836,0.00156836
111,235.733,0.43319,0.18615,0.00638,0.96967,0.985,0.99304,0.9184,0.38767,0.13973,0.0092,0.0015644,0.0015644,0.0015644
112,237.784,0.41794,0.18587,0.00598,0.9801,0.995,0.99368,0.90995,0.46315,0.16349,0.01242,0.00156044,0.00156044,0.00156044
113,239.884,0.42585,0.19394,0.0062,0.96492,0.96268,0.99039,0.91748,0.38987,0.17301,0.00901,0.00155648,0.00155648,0.00155648
114,241.927,0.42701,0.19702,0.00641,0.9467,0.97687,0.98856,0.91839,0.42936,0.17382,0.00937,0.00155252,0.00155252,0.00155252
115,244.343,0.42254,0.18524,0.00602,0.97988,0.9741,0.98885,0.91349,0.41464,0.16397,0.00908,0.00154856,0.00154856,0.00154856
116,246.611,0.3922,0.17585,0.00569,0.9569,0.99917,0.98797,0.92333,0.37546,0.1466,0.0091,0.0015446,0.0015446,0.0015446
117,248.883,0.40235,0.18015,0.00574,0.98515,0.99534,0.99404,0.91315,0.38791,0.12915,0.01006,0.00154064,0.00154064,0.00154064
