epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,232.473,1.07277,1.02376,0.01715,0.0005,0.68845,0.67254,0.70464,0.42661,1.24244,1.07761,0.03749,8e-05,0.00160759,0.00160759,0.00160759
38,238.05,1.12847,1.0373,0.01956,0.00057,0.71828,0.72947,0.7539,0.47596,1.17048,0.94957,0.03511,9e-05,0.00160594,0.00160594,0.00160594
39,243.632,1.04954,0.95533,0.01786,0.00043,0.71603,0.70386,0.76769,0.52943,1.06983,0.91936,0.03009,8e-05,0.00160429,0.00160429,0.00160429
40,248.993,1.04769,0.94783,0.0181,0.00044,0.70097,0.7519,0.76794,0.49659,1.09827,0.89999,0.02913,7e-05,0.00160264,0.00160264,0.00160264
41,254.86,1.06095,0.92167,0.01475,0.00058,0.71562,0.68016,0.74191,0.50862,1.05558,0.94209,0.03312,8e-05,0.00160099,0.00160099,0.00160099
42,259.928,1.07049,0.93294,0.0147,0.00052,0.72978,0.67332,0.75751,0.43824,1.3598,0.90828,0.03334,0.00018,0.00159934,0.00159934,0.00159934
43,265.567,1.10122,0.89844,0.01549,0.00059,0.72371,0.69157,0.77183,0.43808,1.42958,0.93012,0.02819,0.00024,0.00159769,0.00159769,0.00159769
44,270.731,1.01424,0.87414,0.01443,0.00045,0.7252,0.74157,0.78224,0.54372,1.05758,0.85702,0.02636,8e-05,0.00159604,0.00159604,0.00159604
45,276.125,1.04436,0.88881,0.01427,0.00057,0.73617,0.7152,0.76961,0.46398,1.2359,0.90258,0.02743,0.00017,0.00159439,0.00159439,0.00159439
46,282.082,1.02387,0.89496,0.01351,0.00044,0.77803,0.66529,0.78425,0.47385,1.28196,0.87582,0.02707,0.00022,0.00159274,0.00159274,0.00159274
47,287.307,1.05474,0.86488,0.01359,0.00062,0.70714,0.73163,0.78811,0.52074,1.18341,0.88082,0.02871,0.00013,0.00159108,0.00159108,0.00159108
48,293.141,1.02526,0.8392,0.01432,0.00058,0.74649,0.78618,0.8057,0.50886,1.15551,0.89662,0.02482,0.00016,0.00158943,0.00158943,0.00158943
49,298.274,0.96851,0.80156,0.01322,0.00046,0.83964,0.69429,0.83257,0.5662,1.13945,0.82915,0.03324,7e-05,0.00158778,0.00158778,0.00158778
50,303.857,0.97932,0.79929,0.01456,0.00038,0.7413,0.76895,0.8202,0.44057,1.5078,0.8929,0.03328,0.00026,0.00158613,0.00158613,0.00158613
51,309.671,1.171,0.85667,0.01451,0.00072,0.77746,0.75356,0.82255,0.5636,1.02222,0.73776,0.02795,7e-05,0.00158448,0.00158448,0.00158448
52,314.895,1.01131,0.82196,0.0124,0.00056,0.68992,0.75399,0.78175,0.46611,1.26519,0.88575,0.02667,0.00014,0.00158283,0.00158283,0.00158283
53,320.561,0.96461,0.81213,0.01411,0.00037,0.85051,0.72462,0.83325,0.59747,0.94767,0.7139,0.02277,9e-05,0.00158118,0.00158118,0.00158118
54,326.405,0.89036,0.72706,0.01383,0.00034,0.81321,0.77776,0.84399,0.58218,1.02615,0.68171,0.03201,6e-05,0.00157953,0.00157953,0.00157953
55,332.034,1.13035,0.81785,0.02064,0.00064,0.72781,0.73908,0.78854,0.53902,1.02894,0.82269,0.026,7e-05,0.00157788,0.00157788,0.00157788
56,337.354,0.98287,0.81914,0.0138,0.00038,0.79277,0.75267,0.83325,0.54677,1.14617,0.87595,0.0269,0.00012,0.00157623,0.00157623,0.00157623
