epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1164,1.15141,0.52487,0.01997,0.76366,0.82946,0.8489,0.4153,2.03591,1.14967,0.06374,0.00018,0.00018,0.00018
2,28.8295,0.99865,0.47376,0.01782,0.73095,0.81395,0.81553,0.4635,1.69496,1.13027,0.04779,0.000379624,0.000379624,0.000379624
3,33.9364,0.82888,0.3626,0.0117,0.7822,0.70543,0.81634,0.50415,1.49474,1.13105,0.03943,0.000578852,0.000578852,0.000578852
4,39.387,0.8533,0.35832,0.01077,0.82354,0.78295,0.85473,0.56637,1.39416,1.03342,0.03724,0.000777683,0.000777683,0.000777683
5,44.2954,0.78146,0.33389,0.00901,0.79246,0.76962,0.85366,0.64314,1.02245,0.88729,0.01904,0.000976119,0.000976119,0.000976119
6,48.9409,0.82059,0.35548,0.00929,0.81655,0.75969,0.83535,0.60194,1.06525,0.8156,0.01766,0.00117416,0.00117416,0.00117416
7,53.7227,0.78546,0.32691,0.00918,0.80353,0.8243,0.88186,0.66455,1.00911,0.79269,0.01692,0.0013718,0.0013718,0.0013718
8,58.4932,0.79175,0.33582,0.0094,0.88389,0.84496,0.92106,0.68803,1.10479,0.71467,0.02265,0.00156905,0.00156905,0.00156905
9,63.0483,0.81297,0.33802,0.00928,0.85639,0.87834,0.92426,0.70732,0.93801,0.7126,0.01581,0.0017659,0.0017659,0.0017659
10,67.8647,0.77587,0.32242,0.00851,0.84722,0.90278,0.92227,0.6977,1.00856,0.70799,0.01852,0.00196236,0.00196236,0.00196236
11,72.4715,0.75659,0.28915,0.00817,0.85126,0.88734,0.9299,0.70397,0.9702,0.70573,0.01612,0.0019802,0.0019802,0.0019802
12,77.2571,0.80039,0.32815,0.00945,0.85193,0.93661,0.94037,0.69947,1.06834,0.59965,0.01869,0.00197822,0.00197822,0.00197822
13,82.02,0.8391,0.33987,0.009,0.8565,0.88372,0.93185,0.72927,0.91106,0.65199,0.01359,0.00197624,0.00197624,0.00197624
14,86.6161,0.78516,0.30532,0.00865,0.89526,0.92767,0.94689,0.71014,0.94658,0.62953,0.01499,0.00197426,0.00197426,0.00197426
15,91.3444,0.82905,0.33391,0.00916,0.83008,0.88372,0.9208,0.70038,1.06457,0.82258,0.02107,0.00197228,0.00197228,0.00197228
16,95.8692,0.87247,0.35771,0.01016,0.90334,0.86938,0.92812,0.72402,0.96625,0.69827,0.01514,0.0019703,0.0019703,0.0019703
17,100.605,0.82265,0.32839,0.00924,0.92227,0.92248,0.95423,0.77969,0.8742,0.60684,0.01486,0.00196832,0.00196832,0.00196832
18,105.24,0.80017,0.3062,0.00874,0.88908,0.92248,0.94454,0.73683,0.97248,0.6574,0.01737,0.00196634,0.00196634,0.00196634
19,109.909,0.81785,0.33223,0.00855,0.89103,0.88372,0.93018,0.6806,1.14642,0.66906,0.02228,0.00196436,0.00196436,0.00196436
20,114.572,0.85242,0.34954,0.00885,0.87721,0.87597,0.92133,0.60625,1.2781,0.81716,0.01926,0.00196238,0.00196238,0.00196238
21,119.151,0.82323,0.2981,0.00854,0.90831,0.92154,0.94707,0.71116,0.9987,0.5715,0.01484,0.0019604,0.0019604,0.0019604
22,123.891,0.76576,0.30666,0.00825,0.9275,0.93798,0.96261,0.74175,1.00767,0.51334,0.01549,0.00195842,0.00195842,0.00195842
23,128.6,0.7775,0.27373,0.00795,0.92319,0.94574,0.97055,0.73943,1.00864,0.42726,0.016,0.00195644,0.00195644,0.00195644
24,133.176,0.82376,0.29066,0.00826,0.90238,0.94574,0.96639,0.71736,1.06366,0.43746,0.02076,0.00195446,0.00195446,0.00195446
25,137.968,0.83404,0.31958,0.00861,0.94003,0.91473,0.978,0.65486,1.32239,0.5599,0.01799,0.00195248,0.00195248,0.00195248
26,142.762,0.86506,0.31169,0.00914,0.91313,0.95349,0.97104,0.7601,0.95033,0.44343,0.01491,0.0019505,0.0019505,0.0019505
27,147.417,0.80433,0.2969,0.00844,0.93326,0.93798,0.96784,0.73806,1.04226,0.51677,0.01492,0.00194852,0.00194852,0.00194852
28,151.999,0.8061,0.30676,0.00846,0.92993,0.94574,0.97254,0.77178,0.9751,0.42424,0.01532,0.00194654,0.00194654,0.00194654
29,156.517,0.82412,0.32051,0.00817,0.92589,0.96848,0.97682,0.77458,0.93719,0.39224,0.01564,0.00194456,0.00194456,0.00194456
30,161.349,0.81426,0.30403,0.00849,0.9248,0.95331,0.98002,0.78408,0.85803,0.40695,0.01343,0.00194258,0.00194258,0.00194258
31,166.038,0.82395,0.31581,0.0089,0.94958,0.94574,0.96522,0.75042,1.03069,0.59431,0.01969,0.0019406,0.0019406,0.0019406
32,171.154,0.76929,0.30905,0.00887,0.89576,0.94574,0.95699,0.74642,0.88117,0.61891,0.01524,0.00193862,0.00193862,0.00193862
33,175.988,0.84514,0.32821,0.00966,0.94385,0.91222,0.9631,0.69234,1.11719,0.5344,0.01601,0.00193664,0.00193664,0.00193664
34,180.535,0.85483,0.30807,0.00934,0.91732,0.92248,0.96602,0.69617,1.13012,0.55013,0.02526,0.00193466,0.00193466,0.00193466
35,185.204,0.81923,0.31381,0.00961,0.91195,0.95349,0.96902,0.72943,1.00879,0.5942,0.02027,0.00193268,0.00193268,0.00193268
36,189.848,0.8208,0.31333,0.00959,0.8501,0.87926,0.92998,0.70539,1.04555,0.70215,0.01562,0.0019307,0.0019307,0.0019307
37,194.6,0.77886,0.30554,0.00816,0.92791,0.94574,0.97112,0.70861,1.11527,0.52876,0.0152,0.00192872,0.00192872,0.00192872
38,198.995,0.77711,0.28185,0.00806,0.94509,0.94574,0.96971,0.77832,0.95085,0.50414,0.01461,0.00192674,0.00192674,0.00192674
39,203.849,0.83095,0.3142,0.00858,0.92415,0.94456,0.96531,0.68851,1.07592,0.54055,0.01914,0.00192476,0.00192476,0.00192476
40,208.504,0.85054,0.31771,0.00869,0.93564,0.94574,0.96551,0.76235,0.95258,0.52888,0.01584,0.00192278,0.00192278,0.00192278
41,213.082,0.82674,0.31565,0.00866,0.95401,0.89922,0.96505,0.74441,0.98108,0.55036,0.01794,0.0019208,0.0019208,0.0019208
42,217.749,0.76674,0.28072,0.00808,0.94828,0.90698,0.97237,0.78693,0.82226,0.42032,0.01333,0.00191882,0.00191882,0.00191882
