epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,810.687,1.16483,0.4218,0.01753,0.89276,0.96799,0.97496,0.67694,1.3068,0.47215,0.02949,0.00191882,0.00191882,0.00191882
43,826.406,1.10099,0.43318,0.01483,0.93682,0.91949,0.97615,0.65871,1.32392,0.41936,0.02577,0.00191684,0.00191684,0.00191684
44,846.125,1.08614,0.43915,0.01608,0.93032,0.93155,0.96729,0.69065,1.11622,0.40125,0.02448,0.00191486,0.00191486,0.00191486
45,867.941,1.03682,0.36077,0.01503,0.93179,0.95304,0.9625,0.64922,1.3639,0.40877,0.03321,0.00191288,0.00191288,0.00191288
46,890.752,1.00427,0.37496,0.01438,0.96012,0.93325,0.97037,0.68887,1.25966,0.39838,0.02567,0.0019109,0.0019109,0.0019109
47,907.135,1.06962,0.37635,0.01472,0.97957,0.90698,0.9703,0.73787,1.04098,0.39052,0.02282,0.00190892,0.00190892,0.00190892
48,923.049,1.03282,0.3836,0.01532,0.92212,0.91782,0.9576,0.64961,1.29409,0.4272,0.02831,0.00190694,0.00190694,0.00190694
49,942.486,1.05799,0.39611,0.01612,0.88222,0.91473,0.95925,0.6116,1.47258,0.60084,0.04248,0.00190496,0.00190496,0.00190496
50,961.672,1.02728,0.38895,0.01398,0.93431,0.93023,0.96815,0.67148,1.34657,0.52377,0.02749,0.00190298,0.00190298,0.00190298
51,977.513,1.04453,0.40109,0.01498,0.9444,0.92171,0.95918,0.66903,1.28633,0.45351,0.02435,0.001901,0.001901,0.001901
52,993.212,1.01763,0.37899,0.01424,0.8962,0.93699,0.94744,0.6264,1.3826,0.51282,0.02507,0.00189902,0.00189902,0.00189902
53,1012.76,1.03312,0.36733,0.01475,0.95909,0.90866,0.97155,0.6882,1.18672,0.48719,0.02112,0.00189704,0.00189704,0.00189704
54,1028.52,1.02948,0.39217,0.0143,0.89843,0.91473,0.95581,0.6165,1.48655,0.60665,0.03759,0.00189506,0.00189506,0.00189506
55,1044.15,1.02994,0.39865,0.01418,0.95958,0.92006,0.96612,0.67207,1.33176,0.50908,0.02976,0.00189308,0.00189308,0.00189308
56,1064.57,1.02269,0.36851,0.01385,0.94888,0.94574,0.9685,0.70852,1.18692,0.39648,0.02411,0.0018911,0.0018911,0.0018911
57,1084.71,0.97275,0.33925,0.01356,0.94895,0.91473,0.97044,0.72304,1.10972,0.43294,0.02414,0.00188912,0.00188912,0.00188912
58,1100.5,1.03149,0.39898,0.01542,0.91875,0.94574,0.97105,0.72102,1.14347,0.38023,0.02397,0.00188714,0.00188714,0.00188714
59,1116.19,0.98809,0.34097,0.01372,0.92259,0.93798,0.96927,0.68253,1.27767,0.43114,0.02403,0.00188516,0.00188516,0.00188516
60,1134.57,0.95929,0.33509,0.01386,0.93917,0.95349,0.97436,0.70599,1.21125,0.38591,0.02526,0.00188318,0.00188318,0.00188318
61,1150.41,0.99628,0.38414,0.01344,0.96758,0.92559,0.972,0.71872,1.14635,0.35115,0.02466,0.0018812,0.0018812,0.0018812
62,1167.67,0.98876,0.34361,0.01319,0.98198,0.92248,0.97096,0.69259,1.22763,0.43723,0.02122,0.00187922,0.00187922,0.00187922
63,1183.73,0.99831,0.34045,0.01463,0.96765,0.92754,0.97662,0.72315,1.06554,0.43106,0.01947,0.00187724,0.00187724,0.00187724
64,1199.47,0.99919,0.37299,0.01432,0.94241,0.93798,0.96456,0.66931,1.2965,0.45548,0.02949,0.00187526,0.00187526,0.00187526
65,1219.46,0.96847,0.34021,0.01358,0.93748,0.92985,0.95711,0.65216,1.32666,0.47167,0.02743,0.00187328,0.00187328,0.00187328
66,1236.33,0.99998,0.35964,0.01364,0.96681,0.89922,0.94709,0.68132,1.24778,0.47451,0.02883,0.0018713,0.0018713,0.0018713
67,1251.98,0.98079,0.34692,0.01365,0.96812,0.94574,0.96778,0.72044,1.13635,0.41538,0.02276,0.00186932,0.00186932,0.00186932
68,1269.53,0.9652,0.33616,0.01369,0.98385,0.9443,0.98307,0.70025,1.15905,0.39374,0.02157,0.00186734,0.00186734,0.00186734
69,1285.41,0.99379,0.36904,0.01384,0.97952,0.93023,0.97919,0.73406,1.08324,0.40988,0.02265,0.00186536,0.00186536,0.00186536
70,1303.46,0.94932,0.33553,0.01329,0.92174,0.91304,0.96865,0.69966,1.21671,0.47494,0.02508,0.00186338,0.00186338,0.00186338
71,1319.24,0.93434,0.34266,0.01197,0.93171,0.95194,0.97482,0.71368,1.18072,0.43683,0.02416,0.0018614,0.0018614,0.0018614
72,1335.12,0.97068,0.36751,0.01406,0.92781,0.94574,0.97396,0.75688,1.02209,0.37704,0.01924,0.00185942,0.00185942,0.00185942
73,1353.09,1.00515,0.37714,0.01324,0.92992,0.92581,0.96811,0.71551,1.12961,0.41278,0.02399,0.00185744,0.00185744,0.00185744
74,1368.77,0.97043,0.36718,0.01366,0.98564,0.89922,0.97821,0.72517,1.03003,0.36762,0.01842,0.00185546,0.00185546,0.00185546
75,1386.59,0.99507,0.39865,0.01361,0.92504,0.95663,0.96586,0.71847,1.05621,0.40975,0.02132,0.00185348,0.00185348,0.00185348
76,1401.9,0.99161,0.35006,0.0137,0.94417,0.93798,0.96683,0.69914,1.11773,0.40105,0.02466,0.0018515,0.0018515,0.0018515
77,1418.49,0.94711,0.35812,0.01322,0.95206,0.92373,0.97335,0.72114,1.09475,0.46452,0.02107,0.00184952,0.00184952,0.00184952
78,1437.49,0.89537,0.32203,0.01218,0.92242,0.92167,0.96479,0.68807,1.19024,0.52668,0.02337,0.00184754,0.00184754,0.00184754
79,1453.18,0.99024,0.33471,0.01378,0.90897,0.94574,0.96039,0.70313,1.20716,0.53591,0.02493,0.00184556,0.00184556,0.00184556
80,1470.86,0.98222,0.35689,0.01357,0.95081,0.91473,0.96972,0.7344,1.19177,0.44154,0.02285,0.00184358,0.00184358,0.00184358
81,1487.03,0.96793,0.3384,0.01311,0.98973,0.93023,0.97852,0.72041,1.08914,0.36739,0.02358,0.0018416,0.0018416,0.0018416
82,1502.84,0.96561,0.35621,0.01339,0.94723,0.94574,0.97055,0.72124,1.02002,0.34419,0.02084,0.00183962,0.00183962,0.00183962
