epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,229.378,1.56021,1.22681,0.02714,0.00156,0.61615,0.67545,0.67022,0.35559,1.58851,1.2462,0.04752,0.00025,0.00160594,0.00160594,0.00160594
39,235.147,1.52513,1.13865,0.02487,0.00129,0.62921,0.70953,0.72451,0.36143,1.65641,1.159,0.04573,0.00022,0.00160429,0.00160429,0.00160429
40,241.043,1.52327,1.12407,0.02519,0.00122,0.62776,0.61631,0.67407,0.35916,1.62967,1.23204,0.04574,0.00019,0.00160264,0.00160264,0.00160264
41,246.772,1.47705,1.11904,0.02419,0.00127,0.59385,0.74755,0.65858,0.33169,1.53316,1.24419,0.04563,0.00021,0.00160099,0.00160099,0.00160099
42,252.171,1.46386,1.10146,0.02392,0.0013,0.67691,0.65884,0.71083,0.43635,1.39768,1.22395,0.04121,0.00018,0.00159934,0.00159934,0.00159934
43,257.788,1.41508,1.05459,0.02237,0.00121,0.75273,0.73423,0.76983,0.46645,1.33974,0.97167,0.04168,0.00018,0.00159769,0.00159769,0.00159769
44,262.995,1.38986,1.02902,0.02349,0.00123,0.73935,0.62748,0.73595,0.43556,1.41634,0.99704,0.04118,0.0002,0.00159604,0.00159604,0.00159604
45,268.854,1.40686,0.99914,0.02311,0.00112,0.73306,0.73932,0.77097,0.44121,1.37886,0.93172,0.03934,0.00017,0.00159439,0.00159439,0.00159439
46,274.729,1.37777,1.0251,0.02113,0.00126,0.6773,0.75752,0.73594,0.43177,1.36288,1.0339,0.03854,0.00018,0.00159274,0.00159274,0.00159274
47,280.231,1.37324,0.99601,0.022,0.00107,0.65389,0.66082,0.70384,0.40271,1.54305,1.17992,0.04525,0.00018,0.00159108,0.00159108,0.00159108
48,285.945,1.35191,0.99646,0.02174,0.00104,0.67989,0.73099,0.75574,0.42403,1.41271,1.01222,0.03978,0.00017,0.00158943,0.00158943,0.00158943
