epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,97.0312,1.2749,0.79716,0.02436,0.82569,0.695,0.81472,0.54523,1.1616,0.7599,0.03276,0.00183368,0.00183368,0.00183368
44,99.1744,1.30196,0.7876,0.02635,0.74622,0.8086,0.81897,0.56086,1.17308,0.74107,0.03455,0.00182972,0.00182972,0.00182972
45,101.217,1.30514,0.77427,0.02538,0.74879,0.785,0.82514,0.57331,1.27271,0.85238,0.03451,0.00182576,0.00182576,0.00182576
46,103.251,1.26827,0.74684,0.02436,0.72703,0.8523,0.82849,0.57676,1.18183,0.86562,0.02932,0.0018218,0.0018218,0.0018218
47,105.256,1.25045,0.73167,0.02465,0.80224,0.79105,0.87675,0.61379,1.16055,0.67048,0.02912,0.00181784,0.00181784,0.00181784
48,107.495,1.20089,0.71059,0.02362,0.8552,0.88593,0.95204,0.69883,0.96787,0.60505,0.02387,0.00181388,0.00181388,0.00181388
49,109.57,1.2514,0.72603,0.02422,0.73724,0.885,0.89116,0.60963,1.21812,0.62044,0.03519,0.00180992,0.00180992,0.00180992
50,111.652,1.229,0.7025,0.02432,0.77033,0.795,0.84889,0.63192,0.92271,0.69181,0.0232,0.00180596,0.00180596,0.00180596
51,113.737,1.17089,0.66048,0.02262,0.79282,0.78446,0.87344,0.63805,1.02473,0.64727,0.02672,0.001802,0.001802,0.001802
52,115.86,1.1686,0.65638,0.02227,0.79988,0.83938,0.86787,0.62431,1.05614,0.74457,0.02727,0.00179804,0.00179804,0.00179804
53,117.869,1.12019,0.63424,0.02147,0.81244,0.85,0.89916,0.64145,1.09856,0.70639,0.0309,0.00179408,0.00179408,0.00179408
54,119.909,1.19538,0.66414,0.02416,0.78809,0.82,0.88081,0.60927,1.15705,0.66385,0.03875,0.00179012,0.00179012,0.00179012
55,122.005,1.08219,0.63359,0.02133,0.81196,0.83,0.89745,0.64486,1.05063,0.60019,0.02871,0.00178616,0.00178616,0.00178616
56,124.08,1.20442,0.64357,0.023,0.88291,0.8,0.91838,0.6345,1.03584,0.59582,0.02351,0.0017822,0.0017822,0.0017822
57,126.115,1.223,0.63492,0.02426,0.82598,0.85437,0.91213,0.67472,0.87352,0.56616,0.02425,0.00177824,0.00177824,0.00177824
58,128.191,1.12695,0.6209,0.02223,0.75805,0.91,0.91282,0.64142,1.09501,0.61118,0.02587,0.00177428,0.00177428,0.00177428
59,130.296,1.19117,0.62931,0.02253,0.90676,0.815,0.92802,0.68288,0.89895,0.56969,0.02279,0.00177032,0.00177032,0.00177032
60,132.355,1.17573,0.62549,0.02274,0.93964,0.77,0.92252,0.63202,1.04605,0.65035,0.03107,0.00176636,0.00176636,0.00176636
61,134.369,1.10925,0.58654,0.02216,0.85248,0.815,0.90446,0.69547,0.84621,0.59273,0.02323,0.0017624,0.0017624,0.0017624
62,136.517,1.16222,0.62936,0.02248,0.84142,0.87548,0.93546,0.67913,0.98154,0.63484,0.02535,0.00175844,0.00175844,0.00175844
63,138.524,1.13973,0.60982,0.02258,0.86119,0.82,0.91705,0.62912,1.07942,0.73513,0.02705,0.00175448,0.00175448,0.00175448
64,140.567,1.10643,0.59022,0.02329,0.82294,0.76691,0.88881,0.58822,1.13424,0.74857,0.03637,0.00175052,0.00175052,0.00175052
65,142.661,1.09316,0.60902,0.02147,0.88646,0.795,0.90946,0.66804,0.96392,0.67174,0.02529,0.00174656,0.00174656,0.00174656
66,144.806,1.06819,0.57396,0.01987,0.8076,0.79754,0.87452,0.57823,1.1879,0.74163,0.03411,0.0017426,0.0017426,0.0017426
67,147.088,1.11148,0.59221,0.02181,0.76484,0.83,0.88717,0.63859,1.04679,0.73744,0.02797,0.00173864,0.00173864,0.00173864
68,149.376,1.10581,0.59723,0.02186,0.83704,0.76,0.90304,0.66233,0.88412,0.61317,0.02275,0.00173468,0.00173468,0.00173468
69,151.727,1.07946,0.58425,0.02034,0.92369,0.86,0.9594,0.64313,1.14895,0.65835,0.02891,0.00173072,0.00173072,0.00173072
70,154.042,1.08376,0.58271,0.0207,0.82779,0.815,0.90677,0.66265,0.92609,0.52852,0.02701,0.00172676,0.00172676,0.00172676
71,156.284,0.99002,0.55236,0.01866,0.8727,0.82268,0.92479,0.69351,0.89138,0.53132,0.02261,0.0017228,0.0017228,0.0017228
72,158.416,0.96983,0.52052,0.01763,0.86281,0.905,0.94748,0.73833,0.85363,0.54257,0.02497,0.00171884,0.00171884,0.00171884
73,160.471,0.98883,0.5166,0.02008,0.79613,0.93723,0.93333,0.69884,0.92048,0.54083,0.02608,0.00171488,0.00171488,0.00171488
74,162.616,0.98142,0.54049,0.01835,0.81195,0.88,0.90451,0.70658,0.75499,0.63247,0.01977,0.00171092,0.00171092,0.00171092
75,164.623,0.96492,0.52103,0.01754,0.90071,0.865,0.9409,0.72891,0.75487,0.563,0.02056,0.00170696,0.00170696,0.00170696
76,166.655,0.9977,0.5288,0.01868,0.88525,0.855,0.94082,0.69092,1.00286,0.49105,0.02833,0.001703,0.001703,0.001703
77,168.754,0.96843,0.49756,0.01799,0.75688,0.93399,0.91115,0.70126,0.89347,0.64897,0.02309,0.00169904,0.00169904,0.00169904
78,170.806,1.02742,0.52805,0.02079,0.92094,0.855,0.95948,0.73451,0.8287,0.55052,0.02313,0.00169508,0.00169508,0.00169508
79,172.819,0.98175,0.47672,0.01848,0.93034,0.905,0.97214,0.74039,0.88691,0.44619,0.02544,0.00169112,0.00169112,0.00169112
80,174.888,1.03743,0.51738,0.02026,0.86904,0.92902,0.95946,0.72623,0.78209,0.44993,0.02273,0.00168716,0.00168716,0.00168716
81,176.979,0.96422,0.50691,0.01757,0.88382,0.805,0.9324,0.73093,0.70781,0.53589,0.01912,0.0016832,0.0016832,0.0016832
82,179.034,0.91218,0.48621,0.01737,0.9256,0.775,0.93645,0.6981,0.95085,0.5963,0.02666,0.00167924,0.00167924,0.00167924
83,181.069,0.94389,0.48797,0.01724,0.82086,0.84772,0.91505,0.7145,0.80845,0.55133,0.02096,0.00167528,0.00167528,0.00167528
84,183.147,0.91938,0.48017,0.01594,0.92352,0.915,0.9613,0.75948,0.76926,0.45238,0.02033,0.00167132,0.00167132,0.00167132
85,185.312,0.91537,0.4927,0.0168,0.94323,0.83074,0.94986,0.69091,0.9308,0.5191,0.02543,0.00166736,0.00166736,0.00166736
86,187.356,0.93215,0.47484,0.01636,0.89171,0.83,0.93569,0.74953,0.81705,0.53549,0.01826,0.0016634,0.0016634,0.0016634
87,189.375,0.99107,0.48354,0.01745,0.89965,0.865,0.93855,0.71326,0.82328,0.46356,0.02227,0.00165944,0.00165944,0.00165944
88,191.442,0.92835,0.46352,0.01752,0.90123,0.875,0.94197,0.73987,0.85363,0.48499,0.02099,0.00165548,0.00165548,0.00165548
89,193.536,0.91077,0.44329,0.01644,0.89711,0.87194,0.95775,0.73117,0.82185,0.44747,0.02387,0.00165152,0.00165152,0.00165152
90,195.561,0.96496,0.46781,0.01829,0.81503,0.87,0.92448,0.7212,0.81792,0.50997,0.02071,0.00164756,0.00164756,0.00164756
91,197.586,0.89081,0.45593,0.01638,0.90525,0.865,0.95642,0.70463,0.95663,0.59514,0.02205,0.0016436,0.0016436,0.0016436
92,199.659,0.86616,0.4353,0.01552,0.83265,0.84583,0.91332,0.68338,0.92057,0.64084,0.02481,0.00163964,0.00163964,0.00163964
93,201.738,0.95595,0.47727,0.01866,0.88689,0.90168,0.96018,0.74152,0.76173,0.45247,0.01746,0.00163568,0.00163568,0.00163568
94,203.827,0.9055,0.45827,0.0165,0.93633,0.925,0.97932,0.73473,0.81548,0.34228,0.0227,0.00163172,0.00163172,0.00163172
95,205.872,0.88332,0.45609,0.01596,0.84584,0.895,0.93827,0.7106,0.80779,0.51375,0.01871,0.00162776,0.00162776,0.00162776
96,207.991,0.91693,0.44414,0.01673,0.71522,0.935,0.90825,0.72627,0.72363,0.58556,0.02028,0.0016238,0.0016238,0.0016238
97,209.994,0.94059,0.44261,0.01821,0.92979,0.845,0.95051,0.68573,0.94241,0.53009,0.02379,0.00161984,0.00161984,0.00161984
98,212.006,0.99531,0.48235,0.01903,0.84942,0.84618,0.9415,0.68029,0.94433,0.62886,0.03021,0.00161588,0.00161588,0.00161588
99,214,0.98474,0.46545,0.01792,0.99445,0.89512,0.97911,0.68284,1.00515,0.47954,0.02541,0.00161192,0.00161192,0.00161192
100,216.126,0.93788,0.44205,0.01707,0.95111,0.87535,0.97105,0.75725,0.8093,0.47449,0.01845,0.00160796,0.00160796,0.00160796
101,218.231,0.8966,0.41583,0.01725,0.89019,0.93224,0.96516,0.69473,0.84387,0.44149,0.02645,0.001604,0.001604,0.001604
102,220.606,0.88851,0.44146,0.01608,0.91875,0.9,0.97317,0.76759,0.83083,0.47665,0.01866,0.00160004,0.00160004,0.00160004
103,223.012,0.88837,0.42412,0.01625,0.92876,0.895,0.96296,0.69256,0.88673,0.45124,0.02686,0.00159608,0.00159608,0.00159608
104,225.427,0.95029,0.4342,0.01729,0.9256,0.905,0.94735,0.62553,1.0957,0.47927,0.03225,0.00159212,0.00159212,0.00159212
105,227.509,0.93891,0.46336,0.01782,0.87233,0.92,0.93395,0.73245,0.83243,0.4933,0.02353,0.00158816,0.00158816,0.00158816
106,229.857,0.92095,0.43242,0.01748,0.92324,0.9021,0.96738,0.78033,0.70124,0.46427,0.01967,0.0015842,0.0015842,0.0015842
107,231.924,0.89688,0.42836,0.01735,0.86414,0.905,0.95898,0.68016,1.00204,0.50808,0.03372,0.00158024,0.00158024,0.00158024
108,234.108,0.88495,0.41598,0.01681,0.97819,0.89721,0.97916,0.78355,0.71113,0.49359,0.02089,0.00157628,0.00157628,0.00157628
109,236.131,0.90447,0.42469,0.01565,0.90087,0.895,0.96675,0.75205,0.77332,0.37319,0.02105,0.00157232,0.00157232,0.00157232
110,238.194,0.8303,0.41951,0.01451,0.89879,0.855,0.94145,0.74178,0.75371,0.44817,0.01768,0.00156836,0.00156836,0.00156836
111,240.22,0.82862,0.38799,0.01454,0.94471,0.9397,0.98243,0.78121,0.76506,0.33774,0.02161,0.0015644,0.0015644,0.0015644
112,242.398,0.84492,0.40733,0.01509,0.9673,0.88754,0.97325,0.79051,0.67251,0.46473,0.01665,0.00156044,0.00156044,0.00156044
113,244.444,0.88802,0.4229,0.016,0.87916,0.875,0.94956,0.75516,0.78331,0.51376,0.02216,0.00155648,0.00155648,0.00155648
114,246.478,0.84598,0.42475,0.01528,0.93578,0.87433,0.95865,0.72914,0.77943,0.49959,0.01966,0.00155252,0.00155252,0.00155252
115,248.577,0.81576,0.3674,0.01418,0.90272,0.83517,0.93429,0.74856,0.77325,0.529,0.02254,0.00154856,0.00154856,0.00154856
116,250.649,0.84777,0.42679,0.01547,0.85788,0.865,0.94454,0.76511,0.70872,0.57117,0.01908,0.0015446,0.0015446,0.0015446
117,252.657,0.79217,0.39288,0.01447,0.82952,0.935,0.92111,0.71273,0.82204,0.56518,0.0238,0.00154064,0.00154064,0.00154064
118,254.704,0.81371,0.40073,0.01478,0.89104,0.94,0.96046,0.75709,0.73274,0.37217,0.01917,0.00153668,0.00153668,0.00153668
119,256.797,0.76071,0.36837,0.0129,0.92709,0.92,0.97471,0.77765,0.7903,0.43542,0.02083,0.00153272,0.00153272,0.00153272
120,258.856,0.84959,0.39974,0.01556,0.9282,0.895,0.96632,0.71148,0.89134,0.41794,0.02972,0.00152876,0.00152876,0.00152876
121,260.876,0.80641,0.39563,0.01459,0.9469,0.93,0.97662,0.77299,0.77828,0.38661,0.02367,0.0015248,0.0015248,0.0015248
122,262.912,0.7881,0.37359,0.01365,0.96699,0.87878,0.98057,0.79744,0.66479,0.35097,0.0154,0.00152084,0.00152084,0.00152084
123,265.046,0.79354,0.39471,0.01399,0.92242,0.95118,0.97976,0.77469,0.75593,0.40173,0.01757,0.00151688,0.00151688,0.00151688
124,267.044,0.78449,0.39344,0.01334,0.89455,0.8907,0.96233,0.77141,0.81877,0.54578,0.02041,0.00151292,0.00151292,0.00151292
125,269.113,0.79372,0.38159,0.0138,0.88661,0.835,0.9226,0.72756,0.71632,0.50882,0.01695,0.00150896,0.00150896,0.00150896
126,271.154,0.78058,0.38132,0.01345,0.92698,0.885,0.97226,0.78203,0.7457,0.40517,0.01906,0.001505,0.001505,0.001505
127,273.261,0.79355,0.38257,0.01449,0.94167,0.88791,0.97772,0.7628,0.75973,0.37429,0.02167,0.00150104,0.00150104,0.00150104
128,275.336,0.77485,0.37635,0.01376,0.89349,0.895,0.94397,0.80692,0.59271,0.40043,0.01507,0.00149708,0.00149708,0.00149708
129,277.351,0.80114,0.37993,0.01429,0.93056,0.89,0.96184,0.75763,0.75429,0.41685,0.01772,0.00149312,0.00149312,0.00149312
130,279.426,0.80865,0.39196,0.01386,0.8874,0.9457,0.96968,0.78936,0.68925,0.401,0.017,0.00148916,0.00148916,0.00148916
131,281.514,0.7871,0.39131,0.01403,0.9045,0.89978,0.96524,0.79867,0.65079,0.45779,0.01549,0.0014852,0.0014852,0.0014852
132,283.679,0.76937,0.37903,0.01358,0.91621,0.87471,0.95815,0.72456,0.76419,0.50824,0.01875,0.00148124,0.00148124,0.00148124
133,285.867,0.80627,0.38885,0.01372,0.95683,0.88,0.97677,0.7856,0.68365,0.4053,0.01742,0.00147728,0.00147728,0.00147728
134,288.001,0.73857,0.34685,0.01246,0.94038,0.86759,0.96559,0.79232,0.65233,0.38957,0.01742,0.00147332,0.00147332,0.00147332
135,290.398,0.78008,0.37934,0.01363,0.9299,0.92854,0.97689,0.79785,0.60369,0.37292,0.01554,0.00146936,0.00146936,0.00146936
136,292.652,0.81105,0.38841,0.01416,0.91926,0.91086,0.96369,0.78899,0.64941,0.3681,0.01659,0.0014654,0.0014654,0.0014654
137,294.971,0.80315,0.38891,0.01488,0.92994,0.92914,0.97254,0.75491,0.80023,0.4555,0.02383,0.00146144,0.00146144,0.00146144
138,297.147,0.73683,0.36524,0.01226,0.86842,0.85804,0.91947,0.76584,0.6232,0.45934,0.01483,0.00145748,0.00145748,0.00145748
139,299.251,0.77853,0.37589,0.01419,0.88974,0.93,0.9644,0.75749,0.80554,0.43673,0.02203,0.00145352,0.00145352,0.00145352
140,301.307,0.74214,0.3536,0.01276,0.92873,0.95,0.97786,0.79013,0.72908,0.32599,0.01797,0.00144956,0.00144956,0.00144956
141,303.321,0.73954,0.34258,0.01256,0.93439,0.94,0.97638,0.8329,0.59194,0.31556,0.0137,0.0014456,0.0014456,0.0014456
142,305.509,0.77212,0.37958,0.01348,0.98664,0.91,0.98339,0.83772,0.61273,0.30491,0.01477,0.00144164,0.00144164,0.00144164
143,307.552,0.79805,0.37358,0.01355,0.95922,0.94099,0.98643,0.77493,0.84345,0.35804,0.01878,0.00143768,0.00143768,0.00143768
144,309.631,0.75782,0.36009,0.01295,0.89239,0.91,0.96897,0.74746,0.83786,0.40388,0.0255,0.00143372,0.00143372,0.00143372
145,311.684,0.77691,0.37661,0.01284,0.93461,0.915,0.97365,0.82398,0.59127,0.33115,0.01467,0.00142976,0.00142976,0.00142976
146,313.811,0.72332,0.33825,0.01256,0.90299,0.925,0.96183,0.79647,0.59297,0.35475,0.01415,0.0014258,0.0014258,0.0014258
147,315.85,0.7378,0.36434,0.01248,0.91656,0.975,0.98503,0.80957,0.66434,0.33849,0.01449,0.00142184,0.00142184,0.00142184
148,317.89,0.73843,0.36251,0.01305,0.91215,0.935,0.96382,0.77623,0.65561,0.36311,0.01746,0.00141788,0.00141788,0.00141788
149,319.948,0.75542,0.35394,0.01322,0.87081,0.91001,0.93583,0.72358,0.75504,0.37777,0.02129,0.00141392,0.00141392,0.00141392
150,322.095,0.72499,0.3468,0.0121,0.845,0.88,0.94388,0.74834,0.69581,0.4809,0.01759,0.00140996,0.00140996,0.00140996
151,324.123,0.75639,0.35416,0.01248,0.92808,0.925,0.97375,0.80102,0.65636,0.32668,0.01778,0.001406,0.001406,0.001406
152,326.173,0.70922,0.32213,0.01244,0.93116,0.94682,0.97714,0.76721,0.6837,0.31543,0.01789,0.00140204,0.00140204,0.00140204
153,328.189,0.73744,0.35257,0.01249,0.94401,0.92727,0.97756,0.77468,0.77514,0.3825,0.02014,0.00139808,0.00139808,0.00139808
154,330.342,0.67356,0.3151,0.01086,0.89575,0.95,0.97138,0.78598,0.71223,0.39485,0.01534,0.00139412,0.00139412,0.00139412
155,332.549,0.76508,0.34962,0.0136,0.92458,0.91939,0.96088,0.78398,0.65851,0.36932,0.01837,0.00139016,0.00139016,0.00139016
156,334.687,0.80172,0.36512,0.01496,0.89462,0.93385,0.95971,0.79095,0.59328,0.40039,0.01421,0.0013862,0.0013862,0.0013862
157,337.078,0.79034,0.37241,0.01341,0.93236,0.9649,0.97492,0.75518,0.87156,0.43568,0.02217,0.00138224,0.00138224,0.00138224
158,339.396,0.69862,0.33345,0.01157,0.92951,0.955,0.98278,0.79752,0.67569,0.3264,0.01592,0.00137828,0.00137828,0.00137828
159,341.579,0.68945,0.32743,0.01117,0.93192,0.94,0.97682,0.81294,0.67018,0.31632,0.01795,0.00137432,0.00137432,0.00137432
160,344.055,0.69259,0.3253,0.01121,0.89622,0.95,0.97278,0.80649,0.5728,0.34915,0.01216,0.00137036,0.00137036,0.00137036
161,346.177,0.66966,0.32012,0.01108,0.93156,0.95285,0.98059,0.81946,0.57445,0.35256,0.01446,0.0013664,0.0013664,0.0013664
162,348.224,0.67072,0.30749,0.01088,0.9641,0.93,0.97895,0.80897,0.61877,0.29404,0.01513,0.00136244,0.00136244,0.00136244
163,350.25,0.73308,0.34209,0.01184,0.94708,0.89488,0.97194,0.77994,0.72596,0.35434,0.01785,0.00135848,0.00135848,0.00135848
164,352.314,0.69366,0.33999,0.01122,0.87411,0.955,0.97161,0.79844,0.5902,0.33849,0.01451,0.00135452,0.00135452,0.00135452
165,354.383,0.69415,0.324,0.01191,0.91348,0.95026,0.96413,0.78246,0.61079,0.35049,0.01576,0.00135056,0.00135056,0.00135056
166,356.426,0.68921,0.32396,0.01141,0.86673,0.935,0.96427,0.83451,0.54072,0.32756,0.0128,0.0013466,0.0013466,0.0013466
167,358.433,0.71678,0.33927,0.01239,0.90275,0.935,0.97582,0.80342,0.64077,0.34023,0.01448,0.00134264,0.00134264,0.00134264
168,360.563,0.66799,0.33724,0.01213,0.92426,0.95,0.97159,0.78693,0.69412,0.37384,0.02078,0.00133868,0.00133868,0.00133868
169,362.571,0.70373,0.32805,0.01125,0.96438,0.9475,0.97705,0.80716,0.61542,0.32861,0.01503,0.00133472,0.00133472,0.00133472
170,364.672,0.72939,0.36735,0.01266,0.96814,0.95,0.97674,0.84163,0.54414,0.25663,0.01247,0.00133076,0.00133076,0.00133076
171,366.765,0.70662,0.34425,0.01182,0.96089,0.94,0.98495,0.81764,0.67005,0.3194,0.01699,0.0013268,0.0013268,0.0013268
172,368.877,0.6794,0.32563,0.01107,0.93482,0.93,0.9677,0.82241,0.6323,0.27447,0.01704,0.00132284,0.00132284,0.00132284
173,370.886,0.69691,0.32461,0.01163,0.94308,0.925,0.97463,0.80466,0.62548,0.30615,0.01685,0.00131888,0.00131888,0.00131888
174,372.931,0.70224,0.31431,0.01215,0.9499,0.96,0.97818,0.80713,0.64772,0.26945,0.01461,0.00131492,0.00131492,0.00131492
175,375.053,0.70792,0.33344,0.01162,0.90357,0.94,0.9656,0.81462,0.58724,0.33403,0.01457,0.00131096,0.00131096,0.00131096
176,377.376,0.6868,0.3286,0.01131,0.96401,0.955,0.98586,0.76002,0.75421,0.33482,0.01983,0.001307,0.001307,0.001307
177,379.467,0.65863,0.30463,0.01111,0.9684,0.91945,0.97633,0.77825,0.64286,0.3134,0.0163,0.00130304,0.00130304,0.00130304
178,381.589,0.69403,0.32971,0.01107,0.96005,0.96124,0.98846,0.8392,0.59857,0.24878,0.01411,0.00129908,0.00129908,0.00129908
179,383.779,0.7611,0.34177,0.01335,0.97746,0.95,0.9878,0.83135,0.59786,0.23371,0.01467,0.00129512,0.00129512,0.00129512
180,386.028,0.67556,0.32725,0.01116,0.97874,0.92069,0.98655,0.83031,0.55569,0.29588,0.01292,0.00129116,0.00129116,0.00129116
181,388.032,0.67096,0.32608,0.01146,0.98377,0.90926,0.97843,0.78309,0.73249,0.38906,0.0158,0.0012872,0.0012872,0.0012872
182,390.114,0.65197,0.31896,0.01065,0.9677,0.955,0.99013,0.82779,0.61639,0.23531,0.01649,0.00128324,0.00128324,0.00128324
183,392.233,0.65195,0.31555,0.01078,0.96046,0.935,0.98486,0.80131,0.6904,0.29423,0.01805,0.00127928,0.00127928,0.00127928
184,394.274,0.63179,0.31229,0.01041,0.97574,0.935,0.9871,0.81173,0.66039,0.29832,0.01406,0.00127532,0.00127532,0.00127532
185,396.319,0.65249,0.33381,0.0112,0.93796,0.935,0.97117,0.78619,0.7306,0.31753,0.01562,0.00127136,0.00127136,0.00127136
186,398.4,0.6525,0.31273,0.0107,0.95127,0.945,0.97858,0.82686,0.58823,0.30447,0.01307,0.0012674,0.0012674,0.0012674
187,400.486,0.63731,0.29571,0.01051,0.95211,0.96,0.98217,0.81611,0.63758,0.26627,0.01633,0.00126344,0.00126344,0.00126344
188,402.537,0.64941,0.31871,0.01084,0.96804,0.885,0.97218,0.76636,0.74202,0.32923,0.01819,0.00125948,0.00125948,0.00125948
