epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,190.679,0.99209,0.37275,0.0093,0.90891,0.95349,0.97439,0.71928,1.06509,0.49994,0.01418,0.00183764,0.00183764,0.00183764
43,194.629,1.04997,0.40999,0.01027,0.95028,0.94574,0.98217,0.7617,0.89411,0.39733,0.01159,0.00183368,0.00183368,0.00183368
44,198.613,1.06732,0.42122,0.01034,0.908,0.91473,0.95492,0.59434,1.51207,0.53301,0.02021,0.00182972,0.00182972,0.00182972
45,202.608,1.03638,0.39522,0.01025,0.91736,0.93023,0.96753,0.6708,1.24503,0.47889,0.01446,0.00182576,0.00182576,0.00182576
46,206.533,0.97316,0.37101,0.0094,0.95906,0.90805,0.97726,0.72888,1.01006,0.47105,0.01496,0.0018218,0.0018218,0.0018218
47,210.38,0.99476,0.39639,0.0092,0.91464,0.93023,0.96646,0.65911,1.21567,0.50046,0.01663,0.00181784,0.00181784,0.00181784
48,214.245,0.97088,0.39531,0.00937,0.91708,0.94314,0.97505,0.74464,0.97234,0.48111,0.01269,0.00181388,0.00181388,0.00181388
49,218.384,1.00054,0.38453,0.00958,0.91386,0.89147,0.96875,0.64313,1.30019,0.48961,0.01572,0.00180992,0.00180992,0.00180992
50,222.263,1.0507,0.39207,0.01059,0.88745,0.93023,0.9656,0.6903,1.10909,0.48023,0.01341,0.00180596,0.00180596,0.00180596
51,226.373,0.99164,0.34779,0.00976,0.86982,0.93234,0.9567,0.71104,1.05996,0.558,0.01327,0.001802,0.001802,0.001802
52,230.445,1.05099,0.39689,0.01057,0.8968,0.93023,0.96562,0.66011,1.30118,0.48842,0.02042,0.00179804,0.00179804,0.00179804
53,234.426,1.01938,0.38169,0.01005,0.91121,0.89922,0.95824,0.72152,1.07429,0.51094,0.0151,0.00179408,0.00179408,0.00179408
54,238.275,0.98577,0.3824,0.01,0.92319,0.88372,0.96341,0.64714,1.38869,0.54575,0.01868,0.00179012,0.00179012,0.00179012
55,242.298,0.97909,0.37629,0.00971,0.9224,0.92142,0.96574,0.7287,1.07176,0.52004,0.01692,0.00178616,0.00178616,0.00178616
56,246.227,0.97071,0.35578,0.00955,0.96661,0.89778,0.97754,0.67406,1.31178,0.47156,0.01513,0.0017822,0.0017822,0.0017822
57,250.124,0.9629,0.37766,0.00953,0.90099,0.92248,0.97057,0.73827,1.09404,0.48629,0.01336,0.00177824,0.00177824,0.00177824
58,253.964,0.99721,0.38123,0.00953,0.91159,0.95349,0.98116,0.76584,1.00355,0.37738,0.01306,0.00177428,0.00177428,0.00177428
59,257.999,0.97297,0.37681,0.00928,0.84015,0.93707,0.95543,0.69778,1.1997,0.58539,0.01443,0.00177032,0.00177032,0.00177032
60,262.045,0.97591,0.3846,0.00967,0.86323,0.87597,0.94686,0.66061,1.2839,0.57994,0.01752,0.00176636,0.00176636,0.00176636
61,266.032,1.00381,0.4188,0.01001,0.90789,0.93798,0.97672,0.75087,1.10512,0.45104,0.01603,0.0017624,0.0017624,0.0017624
62,270.179,0.99275,0.38422,0.00961,0.85443,0.95553,0.95863,0.68676,1.2521,0.54495,0.01681,0.00175844,0.00175844,0.00175844
63,274.03,0.99753,0.37467,0.00959,0.87539,0.94574,0.95879,0.69521,1.15937,0.46187,0.01576,0.00175448,0.00175448,0.00175448
64,277.955,0.93588,0.36935,0.00934,0.87984,0.93023,0.96809,0.70972,1.11889,0.46346,0.01479,0.00175052,0.00175052,0.00175052
65,281.885,0.99664,0.35793,0.0102,0.92292,0.92822,0.96754,0.68675,1.17389,0.53264,0.01518,0.00174656,0.00174656,0.00174656
66,286.093,0.99514,0.38935,0.00999,0.87369,0.96124,0.96757,0.7121,1.12497,0.52992,0.01594,0.0017426,0.0017426,0.0017426
67,290.117,1.01146,0.39176,0.01024,0.88174,0.92476,0.95985,0.66392,1.25452,0.52715,0.0165,0.00173864,0.00173864,0.00173864
68,294.108,0.95961,0.36823,0.00931,0.90668,0.95349,0.9797,0.73792,1.00809,0.51126,0.01688,0.00173468,0.00173468,0.00173468
69,298.213,0.9402,0.34434,0.00886,0.87181,0.94574,0.95501,0.64361,1.29947,0.53008,0.0159,0.00173072,0.00173072,0.00173072
70,302.168,1.01524,0.35794,0.00988,0.89859,0.96899,0.9686,0.70755,1.06886,0.41022,0.01409,0.00172676,0.00172676,0.00172676
71,306.183,0.94165,0.37743,0.00946,0.94008,0.85133,0.95324,0.66456,1.37217,0.66314,0.01736,0.0017228,0.0017228,0.0017228
72,309.871,0.97711,0.36627,0.0096,0.93535,0.91473,0.96904,0.70504,1.22872,0.51897,0.02074,0.00171884,0.00171884,0.00171884
73,313.885,0.93813,0.36127,0.00957,0.95228,0.92824,0.97613,0.72468,1.12294,0.44456,0.01457,0.00171488,0.00171488,0.00171488
74,317.8,0.96455,0.34131,0.0096,0.97511,0.91118,0.98196,0.73054,1.0514,0.41798,0.01385,0.00171092,0.00171092,0.00171092
75,321.727,0.96727,0.3857,0.00899,0.92812,0.95349,0.97837,0.72881,1.06304,0.42296,0.01397,0.00170696,0.00170696,0.00170696
76,325.882,0.90986,0.35448,0.0085,0.91163,0.95967,0.97719,0.71108,1.01335,0.40836,0.0145,0.001703,0.001703,0.001703
77,329.697,0.9813,0.38949,0.00973,0.93562,0.90122,0.97323,0.70064,1.16017,0.48431,0.01555,0.00169904,0.00169904,0.00169904
78,333.498,1.02974,0.39329,0.01058,0.96748,0.92239,0.98511,0.7185,1.10872,0.41449,0.01409,0.00169508,0.00169508,0.00169508
79,337.307,0.96428,0.37736,0.0096,0.93401,0.87783,0.94459,0.59871,1.46376,0.67251,0.01811,0.00169112,0.00169112,0.00169112
80,341.266,0.98131,0.37824,0.0094,0.9289,0.92248,0.97588,0.71978,1.12851,0.54587,0.01425,0.00168716,0.00168716,0.00168716
81,345.289,0.95191,0.38306,0.00889,0.92182,0.95349,0.97933,0.68936,1.21623,0.52302,0.01517,0.0016832,0.0016832,0.0016832
82,349.233,0.97838,0.37105,0.00948,0.89006,0.94144,0.97018,0.72191,1.07279,0.51369,0.01507,0.00167924,0.00167924,0.00167924
83,353.059,0.9882,0.37252,0.00928,0.91562,0.94574,0.98039,0.7326,1.14888,0.41345,0.01522,0.00167528,0.00167528,0.00167528
84,356.983,0.95589,0.34699,0.00937,0.93717,0.9251,0.9799,0.71113,1.2121,0.49231,0.01621,0.00167132,0.00167132,0.00167132
85,360.951,0.93332,0.35329,0.00932,0.95525,0.91473,0.98519,0.75224,0.97957,0.4894,0.01296,0.00166736,0.00166736,0.00166736
86,365.025,0.95036,0.3488,0.00905,0.93524,0.89922,0.9706,0.70169,1.16849,0.56075,0.01693,0.0016634,0.0016634,0.0016634
87,369.266,0.9374,0.36539,0.00918,0.90692,0.98191,0.98132,0.73741,1.07413,0.44885,0.01405,0.00165944,0.00165944,0.00165944
88,373.256,0.94554,0.34519,0.00904,0.92821,0.90203,0.97682,0.69551,1.13731,0.51656,0.01824,0.00165548,0.00165548,0.00165548
89,377.173,0.92907,0.34832,0.00901,0.87507,0.92309,0.94881,0.67474,1.18508,0.60156,0.01789,0.00165152,0.00165152,0.00165152
90,381.089,0.98015,0.36852,0.00911,0.96036,0.89922,0.98385,0.71018,1.14826,0.42701,0.01463,0.00164756,0.00164756,0.00164756
91,384.92,0.91772,0.3663,0.00853,0.91907,0.96839,0.98295,0.75822,0.92748,0.38596,0.01289,0.0016436,0.0016436,0.0016436
92,389.342,0.95788,0.38115,0.00929,0.96572,0.93798,0.98047,0.70953,1.1958,0.42956,0.01433,0.00163964,0.00163964,0.00163964
93,393.487,0.90771,0.33962,0.00859,0.92182,0.94574,0.97661,0.7767,0.87811,0.4329,0.01171,0.00163568,0.00163568,0.00163568
94,397.359,0.95775,0.37525,0.00916,0.87826,0.93023,0.95793,0.63437,1.42767,0.63991,0.0163,0.00163172,0.00163172,0.00163172
95,401.289,1.00631,0.40151,0.00949,0.91297,0.8945,0.96826,0.75357,0.92135,0.44538,0.01467,0.00162776,0.00162776,0.00162776
96,405.234,0.98796,0.37095,0.0091,0.85831,0.96124,0.96653,0.66844,1.22903,0.51092,0.01489,0.0016238,0.0016238,0.0016238
97,409.21,0.93397,0.37286,0.00892,0.91422,0.90876,0.97568,0.75212,1.03135,0.47209,0.01478,0.00161984,0.00161984,0.00161984
98,413.084,0.88736,0.34344,0.00843,0.88351,0.93798,0.96579,0.6942,1.27891,0.5047,0.01581,0.00161588,0.00161588,0.00161588
99,417.038,0.93302,0.34664,0.00921,0.92986,0.92493,0.96861,0.72876,0.9849,0.50284,0.01396,0.00161192,0.00161192,0.00161192
100,421.136,0.94011,0.35642,0.00915,0.93727,0.92662,0.97949,0.77319,0.91417,0.4275,0.01273,0.00160796,0.00160796,0.00160796
101,425.128,0.92959,0.35212,0.00913,0.91651,0.94574,0.98054,0.73972,1.07306,0.42381,0.01355,0.001604,0.001604,0.001604
